cores,parallelization,batch_size,learning_rate,max_epoch,start_time,end_time,duration
1,1,32,0.01,5,2021-10-24 05:09:49+00:00,2021-10-24 05:16:47+00:00,418
1,1,32,0.01,5,2021-10-24 22:46:19+00:00,2021-10-24 22:53:33+00:00,434
1,1,32,0.01,5,2021-10-24 22:54:07+00:00,2021-10-24 23:01:05+00:00,418
1,1,32,0.01,20,2021-10-24 05:17:24+00:00,2021-10-24 05:42:48+00:00,1524
1,1,32,0.01,20,2021-10-24 23:01:56+00:00,2021-10-24 23:29:26+00:00,1650
1,1,32,0.01,20,2021-10-24 23:30:02+00:00,2021-10-24 23:56:31+00:00,1589
1,1,32,0.05,5,2021-10-24 05:43:28+00:00,2021-10-24 05:50:29+00:00,421
1,1,32,0.05,5,2021-10-24 23:57:22+00:00,2021-10-25 00:03:43+00:00,381
1,1,32,0.05,5,2021-10-25 00:04:15+00:00,2021-10-25 00:11:06+00:00,411
1,1,32,0.05,20,2021-10-24 05:51:09+00:00,2021-10-24 06:18:49+00:00,1660
1,1,32,0.05,20,2021-10-25 00:11:54+00:00,2021-10-25 00:37:06+00:00,1512
1,1,32,0.05,20,2021-10-25 00:37:39+00:00,2021-10-25 01:02:33+00:00,1494
1,1,256,0.01,5,2021-10-24 06:19:31+00:00,2021-10-24 06:25:04+00:00,333
1,1,256,0.01,5,2021-10-25 01:03:22+00:00,2021-10-25 01:08:56+00:00,334
1,1,256,0.01,5,2021-10-25 01:09:29+00:00,2021-10-25 01:14:54+00:00,325
1,1,256,0.01,20,2021-10-24 06:25:42+00:00,2021-10-24 06:47:48+00:00,1326
1,1,256,0.01,20,2021-10-25 01:15:43+00:00,2021-10-25 01:38:02+00:00,1339
1,1,256,0.01,20,2021-10-25 01:38:36+00:00,2021-10-25 02:00:04+00:00,1288
1,1,256,0.05,5,2021-10-24 06:48:30+00:00,2021-10-24 06:54:00+00:00,330
1,1,256,0.05,5,2021-10-25 02:00:52+00:00,2021-10-25 02:06:02+00:00,310
1,1,256,0.05,5,2021-10-25 02:06:35+00:00,2021-10-25 02:11:48+00:00,313
1,1,256,0.05,20,2021-10-24 06:54:38+00:00,2021-10-24 07:13:34+00:00,1136
1,1,256,0.05,20,2021-10-25 02:12:35+00:00,2021-10-25 02:33:57+00:00,1282
1,1,256,0.05,20,2021-10-25 02:34:30+00:00,2021-10-25 02:54:52+00:00,1222
1,4,32,0.01,5,2021-10-24 07:14:13+00:00,2021-10-24 07:16:48+00:00,155
1,4,32,0.01,5,2021-10-25 02:55:40+00:00,2021-10-25 02:58:43+00:00,183
1,4,32,0.01,5,2021-10-25 02:59:15+00:00,2021-10-25 03:02:18+00:00,183
1,4,32,0.01,20,2021-10-24 07:17:32+00:00,2021-10-24 07:29:24+00:00,712
1,4,32,0.01,20,2021-10-25 03:03:08+00:00,2021-10-25 03:14:55+00:00,707
1,4,32,0.01,20,2021-10-25 03:15:28+00:00,2021-10-25 03:27:10+00:00,702
1,4,32,0.05,5,2021-10-24 07:30:09+00:00,2021-10-24 07:33:07+00:00,178
1,4,32,0.05,5,2021-10-25 03:27:58+00:00,2021-10-25 03:30:55+00:00,177
1,4,32,0.05,5,2021-10-25 03:31:28+00:00,2021-10-25 03:34:27+00:00,179
1,4,32,0.05,20,2021-10-24 07:33:56+00:00,2021-10-24 07:45:36+00:00,700
1,4,32,0.05,20,2021-10-25 03:35:15+00:00,2021-10-25 03:46:53+00:00,698
1,4,32,0.05,20,2021-10-25 03:47:26+00:00,2021-10-25 03:59:07+00:00,701
1,4,256,0.01,5,2021-10-24 07:46:20+00:00,2021-10-24 07:48:32+00:00,132
1,4,256,0.01,5,2021-10-25 03:59:57+00:00,2021-10-25 04:02:07+00:00,130
1,4,256,0.01,5,2021-10-25 04:02:43+00:00,2021-10-25 04:04:54+00:00,131
1,4,256,0.01,20,2021-10-24 07:49:17+00:00,2021-10-24 07:57:49+00:00,512
1,4,256,0.01,20,2021-10-25 04:05:42+00:00,2021-10-25 04:14:06+00:00,504
1,4,256,0.01,20,2021-10-25 04:14:39+00:00,2021-10-25 04:23:09+00:00,510
1,4,256,0.05,5,2021-10-24 07:58:32+00:00,2021-10-24 08:00:44+00:00,132
1,4,256,0.05,5,2021-10-25 04:23:55+00:00,2021-10-25 04:26:07+00:00,132
1,4,256,0.05,5,2021-10-25 04:26:40+00:00,2021-10-25 04:28:50+00:00,130
1,4,256,0.05,20,2021-10-24 08:01:29+00:00,2021-10-24 08:09:01+00:00,452
1,4,256,0.05,20,2021-10-25 04:29:37+00:00,2021-10-25 04:37:49+00:00,492
1,4,256,0.05,20,2021-10-25 04:38:21+00:00,2021-10-25 04:46:42+00:00,501
3,1,32,0.01,5,2021-10-24 08:09:47+00:00,2021-10-24 08:12:54+00:00,187
3,1,32,0.01,5,2021-10-25 04:47:28+00:00,2021-10-25 04:50:35+00:00,187
3,1,32,0.01,5,2021-10-25 04:51:07+00:00,2021-10-25 04:54:22+00:00,195
3,1,32,0.01,20,2021-10-24 08:13:37+00:00,2021-10-24 08:25:58+00:00,741
3,1,32,0.01,20,2021-10-25 05:49:51+00:00,2021-10-25 06:02:51+00:00,780
3,1,32,0.01,20,2021-10-25 06:03:25+00:00,2021-10-25 06:14:59+00:00,694
3,1,32,0.05,5,2021-10-24 08:26:43+00:00,2021-10-24 08:30:04+00:00,201
3,1,32,0.05,5,2021-10-25 06:15:51+00:00,2021-10-25 06:19:07+00:00,196
3,1,32,0.05,5,2021-10-25 06:19:39+00:00,2021-10-25 06:22:31+00:00,172
3,1,32,0.05,20,2021-10-24 08:30:48+00:00,2021-10-24 08:43:59+00:00,791
3,1,32,0.05,20,2021-10-25 06:23:19+00:00,2021-10-25 06:36:07+00:00,768
3,1,32,0.05,20,2021-10-25 06:36:44+00:00,2021-10-25 06:49:39+00:00,775
3,1,256,0.01,5,2021-10-24 08:44:47+00:00,2021-10-24 08:47:41+00:00,174
3,1,256,0.01,5,2021-10-25 06:50:29+00:00,2021-10-25 06:53:17+00:00,168
3,1,256,0.01,5,2021-10-25 06:53:50+00:00,2021-10-25 06:56:30+00:00,160
3,1,256,0.01,20,2021-10-24 08:48:24+00:00,2021-10-24 08:59:52+00:00,688
3,1,256,0.01,20,2021-10-25 06:57:18+00:00,2021-10-25 07:08:34+00:00,676
3,1,256,0.01,20,2021-10-25 07:09:11+00:00,2021-10-25 07:20:19+00:00,668
3,1,256,0.05,5,2021-10-24 09:00:37+00:00,2021-10-24 09:03:17+00:00,160
3,1,256,0.05,5,2021-10-25 07:21:08+00:00,2021-10-25 07:23:50+00:00,162
3,1,256,0.05,5,2021-10-25 07:24:22+00:00,2021-10-25 07:27:13+00:00,171
3,1,256,0.05,20,2021-10-24 09:04:01+00:00,2021-10-24 09:14:53+00:00,652
3,1,256,0.05,20,2021-10-25 07:28:00+00:00,2021-10-25 07:39:06+00:00,666
3,1,256,0.05,20,2021-10-25 07:39:40+00:00,2021-10-25 07:50:29+00:00,649
3,4,32,0.01,5,2021-10-24 09:15:41+00:00,2021-10-24 09:17:50+00:00,129
3,4,32,0.01,5,2021-10-25 07:51:19+00:00,2021-10-25 07:54:21+00:00,182
3,4,32,0.01,5,2021-10-25 07:54:54+00:00,2021-10-25 07:56:06+00:00,72
3,4,32,0.01,20,2021-10-24 09:18:32+00:00,2021-10-24 09:23:04+00:00,272
3,4,32,0.01,20,2021-10-25 07:56:52+00:00,2021-10-25 08:01:16+00:00,264
3,4,32,0.01,20,2021-10-25 08:01:54+00:00,2021-10-25 08:06:29+00:00,275
3,4,32,0.05,5,2021-10-24 09:23:50+00:00,2021-10-24 09:25:05+00:00,75
3,4,32,0.05,5,2021-10-25 08:07:16+00:00,2021-10-25 08:08:28+00:00,72
3,4,32,0.05,5,2021-10-25 08:09:01+00:00,2021-10-25 08:10:13+00:00,72
3,4,32,0.05,20,2021-10-24 09:25:49+00:00,2021-10-24 09:30:22+00:00,273
3,4,32,0.05,20,2021-10-25 08:10:59+00:00,2021-10-25 08:15:33+00:00,274
3,4,32,0.05,20,2021-10-25 08:16:05+00:00,2021-10-25 08:20:39+00:00,274
3,4,256,0.01,5,2021-10-24 09:31:06+00:00,2021-10-24 09:32:00+00:00,54
3,4,256,0.01,5,2021-10-25 08:21:25+00:00,2021-10-25 08:22:19+00:00,54
3,4,256,0.01,5,2021-10-25 08:22:51+00:00,2021-10-25 08:23:47+00:00,56
3,4,256,0.01,20,2021-10-24 09:32:41+00:00,2021-10-24 09:35:58+00:00,197
3,4,256,0.01,20,2021-10-25 08:24:34+00:00,2021-10-25 08:27:48+00:00,194
3,4,256,0.01,20,2021-10-25 08:28:21+00:00,2021-10-25 08:31:40+00:00,199
3,4,256,0.05,5,2021-10-24 09:36:42+00:00,2021-10-24 09:37:38+00:00,56
3,4,256,0.05,5,2021-10-25 08:32:32+00:00,2021-10-25 08:33:30+00:00,58
3,4,256,0.05,5,2021-10-25 08:34:01+00:00,2021-10-25 08:35:01+00:00,60
3,4,256,0.05,20,2021-10-24 09:38:21+00:00,2021-10-24 09:41:35+00:00,194
3,4,256,0.05,20,2021-10-25 08:35:56+00:00,2021-10-25 08:39:06+00:00,190
3,4,256,0.05,20,2021-10-25 08:39:39+00:00,2021-10-25 08:42:58+00:00,199
